layers,neurons,params,L_norm_mean,n_stable_of_10,meas_rmse_int,hidden_rmse_int,avg_diverge_t_s,meas_rmse_direct,hidden_rmse_direct,train_time_s
4,20,3304,52.459,0,nan,nan,15.04,0.1263,0.7857,1306
4,60,16944,40.402,0,nan,nan,14.85,0.0903,0.4243,1660
4,100,40184,26.882,0,nan,nan,3.36,0.0940,0.2609,3198
4,128,62164,24.607,0,nan,nan,12.87,0.0722,0.3047,3732
9,20,5404,54.511,0,nan,nan,11.19,0.1596,1.0184,2131
9,60,35244,38.486,0,nan,nan,12.69,0.1342,0.8597,2916
9,100,90684,24.844,0,nan,nan,14.66,0.2154,0.5195,4580
9,128,144724,23.636,0,nan,nan,14.23,0.1854,0.4135,5015
12,20,6664,51.081,0,nan,nan,2.58,0.1914,1.2020,2504
12,60,46224,13.678,10,167.2016,28.7687,nan,5.9262,1.9453,3788
12,100,120984,23.454,0,nan,nan,18.63,0.1472,0.3875,5922
12,128,194260,12.472,10,765.5091,187.8559,nan,5.9650,1.9455,6508
