t,max_re_eig
0,2.77497
0.25,2.85826
0.5,1.37522
0.75,1.69594
1,0.727909
1.25,0.503631
1.5,0.520524
1.75,1.49708
2,1.88239
2.25,1.10856
2.5,1.31886
2.75,1.44318
3,1.80602
3.25,0.933513
3.5,1.15972
3.75,1.02565
4,0.833082
4.25,0.626614
4.5,0.365469
4.75,0.333637
5,0.359212
5.25,0.395385
5.5,0.270996
5.75,0.275642
6,0.179793
6.25,0.185478
6.5,0.121854
6.75,0.139782
7,0.196941
7.25,0.234747
7.5,0.260268
7.75,0.418594
8,0.500622
8.25,0.509359
8.5,0.400164
8.75,0.523545
9,0.5363
9.25,0.481536
9.5,0.744758
9.75,0.815097
10,0.819915
10.25,0.789729
10.5,0.773964
10.75,0.801885
11,0.850558
11.25,0.887017
11.5,0.913463
11.75,0.941808
12,0.969909
12.25,0.97936
12.5,0.955044
12.75,0.905063
13,0.858308
13.25,0.829406
13.5,0.810176
13.75,0.792715
14,0.775488
14.25,0.765734
14.5,0.758191
14.75,0.722517
15,0.630597
15.25,0.421473
15.5,0.419895
15.75,0.407168
16,0.367698
16.25,0.425495
16.5,0.512379
16.75,0.525256
17,0.529772
17.25,0.529599
17.5,0.505519
17.75,0.450976
18,0.435347
18.25,0.407545
18.5,0.353448
18.75,0.228423
19,0.239624
19.25,0.250607
19.5,0.207189
19.75,0.213399
20,0.227177
20.25,0.252021
20.5,0.276904
20.75,0.288573
21,0.279475
21.25,0.248795
21.5,0.208797
21.75,0.183758
22,0.386417
22.25,0.497683
22.5,0.537962
22.75,0.525851
23,0.475074
23.25,0.646607
23.5,0.780564
23.75,0.855459
24,0.868873
24.25,0.828929
24.5,0.738283
24.75,0.770533
25,0.91118
25.25,1.06627
25.5,1.20295
25.75,1.30238
26,1.36783
26.25,1.40573
26.5,1.41233
26.75,1.34028
27,1.28531
27.25,1.41043
27.5,1.49062
27.75,1.5294
28,1.52124
28.25,1.45811
28.5,1.55861
28.75,1.82411
29,1.9976
29.25,2.1994
29.5,2.42526
29.75,2.63893
