t,L_fro
0,52.4726
0.01,51.9918
0.02,51.5374
0.03,51.1188
0.04,50.735
0.05,50.382
0.06,50.0555
0.07,49.7524
0.08,49.4701
0.09,49.2064
0.1,48.9598
0.11,48.7283
0.12,48.5106
0.13,48.305
0.14,48.1101
0.15,47.9244
0.16,47.7468
0.17,47.576
0.18,47.4109
0.19,47.2506
0.2,47.0941
0.21,46.9407
0.22,46.7897
0.23,46.6405
0.24,46.4925
0.25,46.3455
0.26,46.199
0.27,46.0529
0.28,45.907
0.29,45.7613
0.3,45.616
0.31,45.471
0.32,45.3266
0.33,45.183
0.34,45.0403
0.35,44.8988
0.36,44.7584
0.37,44.6192
0.38,44.4811
0.39,44.3438
0.4,44.2071
0.41,44.0707
0.42,43.9342
0.43,43.7972
0.44,43.6594
0.45,43.5203
0.46,43.3795
0.47,43.2367
0.48,43.0912
0.49,42.9424
0.5,42.7898
0.51,42.6324
0.52,42.4695
0.53,42.3003
0.54,42.1243
0.55,41.9409
0.56,41.7501
0.57,41.552
0.58,41.3475
0.59,41.1377
0.6,40.9243
0.61,40.7093
0.62,40.4948
0.63,40.2829
0.64,40.0758
0.65,39.8751
0.66,39.682
0.67,39.4973
0.68,39.3212
0.69,39.1537
0.7,38.9945
0.71,38.8428
0.72,38.6981
0.73,38.5596
0.74,38.4266
0.75,38.2986
0.76,38.175
0.77,38.0555
0.78,37.9401
0.79,37.8286
0.8,37.7214
0.81,37.6187
0.82,37.5211
0.83,37.4292
0.84,37.3437
0.85,37.2656
0.86,37.1957
0.87,37.1349
0.88,37.084
0.89,37.0439
0.9,37.0155
0.91,36.9995
0.92,36.9972
0.93,37.0115
0.94,37.05
0.95,37.1325
0.96,37.2994
0.97,37.5754
0.98,37.8204
0.99,37.895
1,37.9113
1.01,37.9247
1.02,37.9335
1.03,37.9404
1.04,37.9481
1.05,37.9558
1.06,37.9601
1.07,37.9575
1.08,37.9456
1.09,37.9232
1.1,37.8902
1.11,37.8471
1.12,37.7946
1.13,37.7335
1.14,37.6643
1.15,37.5876
1.16,37.5035
1.17,37.4124
1.18,37.3144
1.19,37.2097
1.2,37.0985
1.21,36.981
1.22,36.8574
1.23,36.7281
1.24,36.5934
1.25,36.4538
1.26,36.3097
1.27,36.1617
1.28,36.0103
1.29,35.8561
1.3,35.6998
1.31,35.5419
1.32,35.3831
1.33,35.224
1.34,35.0651
1.35,34.9072
1.36,34.7506
1.37,34.5961
1.38,34.4439
1.39,34.2947
1.4,34.1488
1.41,34.0067
1.42,33.8686
1.43,33.735
1.44,33.606
1.45,33.482
1.46,33.3631
1.47,33.2495
1.48,33.1414
1.49,33.0388
1.5,32.9419
1.51,32.8506
1.52,32.7651
1.53,32.6853
1.54,32.6111
1.55,32.5426
1.56,32.4797
1.57,32.4221
1.58,32.37
1.59,32.3231
1.6,32.2813
1.61,32.2445
1.62,32.2125
1.63,32.1851
1.64,32.1622
1.65,32.1436
1.66,32.1292
1.67,32.1187
1.68,32.112
1.69,32.109
1.7,32.1094
1.71,32.113
1.72,32.1198
1.73,32.1296
1.74,32.1421
1.75,32.1573
1.76,32.175
1.77,32.1951
1.78,32.2174
1.79,32.2418
1.8,32.2682
1.81,32.2965
1.82,32.3265
1.83,32.3582
1.84,32.3914
1.85,32.426
1.86,32.462
1.87,32.4992
1.88,32.5376
1.89,32.5771
1.9,32.6175
1.91,32.6589
1.92,32.701
1.93,32.7438
1.94,32.7873
1.95,32.8312
1.96,32.8756
1.97,32.9203
1.98,32.9651
1.99,33.0101
2,33.0551
2.01,33.0999
2.02,33.1445
2.03,33.1887
2.04,33.2324
2.05,33.2755
2.06,33.3179
2.07,33.3595
2.08,33.4003
2.09,33.4401
2.1,33.479
2.11,33.5169
2.12,33.5538
2.13,33.59
2.14,33.6254
2.15,33.6603
2.16,33.6948
2.17,33.7292
2.18,33.7637
2.19,33.7987
2.2,33.8344
2.21,33.8709
2.22,33.9084
2.23,33.9471
2.24,33.9867
2.25,34.0272
2.26,34.0682
2.27,34.1092
2.28,34.1496
2.29,34.1888
2.3,34.2259
2.31,34.2603
2.32,34.291
2.33,34.3176
2.34,34.3393
2.35,34.3557
2.36,34.3664
2.37,34.3714
2.38,34.3706
2.39,34.3641
2.4,34.3524
2.41,34.3356
2.42,34.3145
2.43,34.2896
2.44,34.2615
2.45,34.231
2.46,34.1987
2.47,34.1654
2.48,34.1316
2.49,34.0981
2.5,34.0654
2.51,34.0341
2.52,34.0047
2.53,33.9775
2.54,33.953
2.55,33.9314
2.56,33.913
2.57,33.8979
2.58,33.8863
2.59,33.8784
2.6,33.8741
2.61,33.8735
2.62,33.8766
2.63,33.8834
2.64,33.8938
2.65,33.9078
2.66,33.9253
2.67,33.9462
2.68,33.9704
2.69,33.9979
2.7,34.0285
2.71,34.0621
2.72,34.0986
2.73,34.1379
2.74,34.1798
2.75,34.2241
2.76,34.2708
2.77,34.3197
2.78,34.3707
2.79,34.4235
2.8,34.478
2.81,34.5342
2.82,34.5917
2.83,34.6506
2.84,34.7106
2.85,34.7716
2.86,34.8335
2.87,34.8963
2.88,34.9599
2.89,35.0242
2.9,35.0894
2.91,35.1555
2.92,35.2226
2.93,35.291
2.94,35.361
2.95,35.433
2.96,35.5075
2.97,35.5852
2.98,35.6669
2.99,35.7537
3,35.8467
3.01,35.9473
3.02,36.057
3.03,36.1775
3.04,36.3102
3.05,36.4561
3.06,36.6155
3.07,36.7871
3.08,36.9672
3.09,37.1498
3.1,37.3254
3.11,37.4825
3.12,37.6097
3.13,37.701
3.14,37.7635
3.15,37.8185
3.16,37.8799
3.17,37.9304
3.18,37.9347
3.19,37.8723
3.2,37.7474
3.21,37.5773
3.22,37.3812
3.23,37.1744
3.24,36.9673
3.25,36.7666
3.26,36.5754
3.27,36.3953
3.28,36.2262
3.29,36.0676
3.3,35.9184
3.31,35.7776
3.32,35.644
3.33,35.5166
3.34,35.3945
3.35,35.2771
3.36,35.1637
3.37,35.0539
3.38,34.9473
3.39,34.8436
3.4,34.7427
3.41,34.6445
3.42,34.5487
3.43,34.4554
3.44,34.3644
3.45,34.2759
3.46,34.1896
3.47,34.1057
3.48,34.024
3.49,33.9446
3.5,33.8673
3.51,33.7922
3.52,33.7191
3.53,33.648
3.54,33.5788
3.55,33.5115
3.56,33.446
3.57,33.3821
3.58,33.3199
3.59,33.2591
3.6,33.1999
3.61,33.142
3.62,33.0854
3.63,33.0301
3.64,32.976
3.65,32.9231
3.66,32.8713
3.67,32.8207
3.68,32.7712
3.69,32.7229
3.7,32.6757
3.71,32.6296
3.72,32.5847
3.73,32.5411
3.74,32.4987
3.75,32.4575
3.76,32.4176
3.77,32.3791
3.78,32.3419
3.79,32.3061
3.8,32.2717
3.81,32.2386
3.82,32.207
3.83,32.1767
3.84,32.1478
3.85,32.1203
3.86,32.0941
3.87,32.0692
3.88,32.0455
3.89,32.023
3.9,32.0017
3.91,31.9815
3.92,31.9623
3.93,31.9441
3.94,31.9268
3.95,31.9104
3.96,31.8948
3.97,31.8799
3.98,31.8658
3.99,31.8523
4,31.8394
4.01,31.827
4.02,31.8152
4.03,31.8038
4.04,31.7929
4.05,31.7823
4.06,31.772
4.07,31.7621
4.08,31.7524
4.09,31.743
4.1,31.7338
4.11,31.7248
4.12,31.7159
4.13,31.7071
4.14,31.6985
4.15,31.6899
4.16,31.6813
4.17,31.6728
4.18,31.6644
4.19,31.6559
4.2,31.6474
4.21,31.6388
4.22,31.6302
4.23,31.6215
4.24,31.6128
4.25,31.6039
4.26,31.595
4.27,31.586
4.28,31.5768
4.29,31.5675
4.3,31.5582
4.31,31.5487
4.32,31.5391
4.33,31.5293
4.34,31.5195
4.35,31.5095
4.36,31.4994
4.37,31.4892
4.38,31.4788
4.39,31.4684
4.4,31.4579
4.41,31.4472
4.42,31.4365
4.43,31.4256
4.44,31.4147
4.45,31.4037
4.46,31.3926
4.47,31.3814
4.48,31.3702
4.49,31.3588
4.5,31.3474
4.51,31.3359
4.52,31.3244
4.53,31.3128
4.54,31.3011
4.55,31.2893
4.56,31.2775
4.57,31.2656
4.58,31.2536
4.59,31.2416
4.6,31.2295
4.61,31.2172
4.62,31.2049
4.63,31.1925
4.64,31.18
4.65,31.1674
4.66,31.1546
4.67,31.1418
4.68,31.1288
4.69,31.1157
4.7,31.1024
4.71,31.0889
4.72,31.0753
4.73,31.0615
4.74,31.0475
4.75,31.0332
4.76,31.0188
4.77,31.0041
4.78,30.9891
4.79,30.9739
4.8,30.9584
4.81,30.9426
4.82,30.9264
4.83,30.91
4.84,30.8931
4.85,30.8759
4.86,30.8583
4.87,30.8403
4.88,30.8218
4.89,30.8028
4.9,30.7834
4.91,30.7635
4.92,30.743
4.93,30.722
4.94,30.7004
4.95,30.6782
4.96,30.6553
4.97,30.6318
4.98,30.6076
4.99,30.5827
5,30.557
5.01,30.5306
5.02,30.5034
5.03,30.4753
5.04,30.4464
5.05,30.4166
5.06,30.3858
5.07,30.3542
5.08,30.3215
5.09,30.2879
5.1,30.2532
5.11,30.2174
5.12,30.1806
5.13,30.1426
5.14,30.1035
5.15,30.0631
5.16,30.0216
5.17,29.9788
5.18,29.9348
5.19,29.8894
5.2,29.8427
5.21,29.7946
5.22,29.7451
5.23,29.6942
5.24,29.6418
5.25,29.588
5.26,29.5326
5.27,29.4758
5.28,29.4174
5.29,29.3575
5.3,29.296
5.31,29.2331
5.32,29.1687
5.33,29.1028
5.34,29.0356
5.35,28.9671
5.36,28.8974
5.37,28.8266
5.38,28.7547
5.39,28.682
5.4,28.6086
5.41,28.5347
5.42,28.4604
5.43,28.3859
5.44,28.3114
5.45,28.2371
5.46,28.1632
5.47,28.0899
5.48,28.0174
5.49,27.9459
5.5,27.8755
5.51,27.8064
5.52,27.7388
5.53,27.6727
5.54,27.6084
5.55,27.546
5.56,27.4854
5.57,27.4268
5.58,27.3702
5.59,27.3157
5.6,27.2632
5.61,27.2129
5.62,27.1646
5.63,27.1183
5.64,27.074
5.65,27.0317
5.66,26.9914
5.67,26.9528
5.68,26.9161
5.69,26.8811
5.7,26.8478
5.71,26.8161
5.72,26.7858
5.73,26.7571
5.74,26.7297
5.75,26.7035
5.76,26.6787
5.77,26.655
5.78,26.6323
5.79,26.6108
5.8,26.5902
5.81,26.5705
5.82,26.5516
5.83,26.5336
5.84,26.5163
5.85,26.4997
5.86,26.4838
5.87,26.4685
5.88,26.4538
5.89,26.4396
5.9,26.4259
5.91,26.4127
5.92,26.4
5.93,26.3876
5.94,26.3757
5.95,26.3641
5.96,26.3528
5.97,26.3418
5.98,26.3312
5.99,26.3208
6,26.3107
6.01,26.3008
6.02,26.2912
6.03,26.2818
6.04,26.2725
6.05,26.2635
6.06,26.2547
6.07,26.246
6.08,26.2374
6.09,26.229
6.1,26.2208
6.11,26.2127
6.12,26.2047
6.13,26.1968
6.14,26.189
6.15,26.1814
6.16,26.1738
6.17,26.1663
6.18,26.159
6.19,26.1517
6.2,26.1445
6.21,26.1374
6.22,26.1304
6.23,26.1234
6.24,26.1166
6.25,26.1098
6.26,26.1031
6.27,26.0965
6.28,26.0899
6.29,26.0835
6.3,26.0771
6.31,26.0708
6.32,26.0646
6.33,26.0585
6.34,26.0524
6.35,26.0465
6.36,26.0407
6.37,26.0349
6.38,26.0293
6.39,26.0238
6.4,26.0184
6.41,26.0131
6.42,26.0079
6.43,26.0028
6.44,25.9979
6.45,25.993
6.46,25.9883
6.47,25.9838
6.48,25.9794
6.49,25.9751
6.5,25.9709
6.51,25.9669
6.52,25.9631
6.53,25.9594
6.54,25.9558
6.55,25.9524
6.56,25.9491
6.57,25.946
6.58,25.943
6.59,25.9403
6.6,25.9376
6.61,25.9351
6.62,25.9328
6.63,25.9306
6.64,25.9286
6.65,25.9267
6.66,25.925
6.67,25.9234
6.68,25.922
6.69,25.9208
6.7,25.9197
6.71,25.9187
6.72,25.9179
6.73,25.9172
6.74,25.9166
6.75,25.9162
6.76,25.9159
6.77,25.9158
6.78,25.9158
6.79,25.9159
6.8,25.9161
6.81,25.9164
6.82,25.9169
6.83,25.9174
6.84,25.9181
6.85,25.9188
6.86,25.9197
6.87,25.9206
6.88,25.9217
6.89,25.9228
6.9,25.924
6.91,25.9253
6.92,25.9266
6.93,25.928
6.94,25.9295
6.95,25.9311
6.96,25.9327
6.97,25.9344
6.98,25.9361
6.99,25.9378
7,25.9397
7.01,25.9415
7.02,25.9434
7.03,25.9453
7.04,25.9473
7.05,25.9493
7.06,25.9513
7.07,25.9534
7.08,25.9555
7.09,25.9576
7.1,25.9597
7.11,25.9618
7.12,25.964
7.13,25.9662
7.14,25.9683
7.15,25.9705
7.16,25.9727
7.17,25.9749
7.18,25.9771
7.19,25.9792
7.2,25.9814
7.21,25.9836
7.22,25.9857
7.23,25.9879
7.24,25.99
7.25,25.9921
7.26,25.9941
7.27,25.9962
7.28,25.9982
7.29,26.0002
7.3,26.0021
7.31,26.004
7.32,26.0058
7.33,26.0076
7.34,26.0093
7.35,26.011
7.36,26.0126
7.37,26.0142
7.38,26.0156
7.39,26.017
7.4,26.0183
7.41,26.0195
7.42,26.0207
7.43,26.0217
7.44,26.0226
7.45,26.0235
7.46,26.0242
7.47,26.0248
7.48,26.0252
7.49,26.0256
7.5,26.0258
7.51,26.0259
7.52,26.0258
7.53,26.0256
7.54,26.0252
7.55,26.0247
7.56,26.0241
7.57,26.0232
7.58,26.0222
7.59,26.0211
7.6,26.0197
7.61,26.0182
7.62,26.0166
7.63,26.0147
7.64,26.0127
7.65,26.0104
7.66,26.008
7.67,26.0055
7.68,26.0027
7.69,25.9997
7.7,25.9966
7.71,25.9933
7.72,25.9899
7.73,25.9862
7.74,25.9824
7.75,25.9785
7.76,25.9743
7.77,25.9701
7.78,25.9656
7.79,25.9611
7.8,25.9564
7.81,25.9515
7.82,25.9466
7.83,25.9415
7.84,25.9364
7.85,25.9311
7.86,25.9258
7.87,25.9204
7.88,25.9149
7.89,25.9093
7.9,25.9037
7.91,25.8981
7.92,25.8924
7.93,25.8868
7.94,25.8811
7.95,25.8754
7.96,25.8697
7.97,25.864
7.98,25.8584
7.99,25.8527
8,25.8472
8.01,25.8417
8.02,25.8362
8.03,25.8308
8.04,25.8255
8.05,25.8203
8.06,25.8152
8.07,25.8101
8.08,25.8052
8.09,25.8004
8.1,25.7957
8.11,25.7912
8.12,25.7867
8.13,25.7825
8.14,25.7783
8.15,25.7743
8.16,25.7705
8.17,25.7668
8.18,25.7633
8.19,25.7599
8.2,25.7567
8.21,25.7537
8.22,25.7508
8.23,25.7482
8.24,25.7457
8.25,25.7434
8.26,25.7412
8.27,25.7393
8.28,25.7375
8.29,25.736
8.3,25.7346
8.31,25.7334
8.32,25.7323
8.33,25.7315
8.34,25.7309
8.35,25.7304
8.36,25.7301
8.37,25.73
8.38,25.73
8.39,25.7302
8.4,25.7306
8.41,25.7311
8.42,25.7319
8.43,25.7327
8.44,25.7337
8.45,25.7349
8.46,25.7362
8.47,25.7376
8.48,25.7392
8.49,25.7409
8.5,25.7427
8.51,25.7446
8.52,25.7467
8.53,25.7489
8.54,25.7511
8.55,25.7535
8.56,25.7559
8.57,25.7585
8.58,25.7611
8.59,25.7638
8.6,25.7666
8.61,25.7694
8.62,25.7723
8.63,25.7753
8.64,25.7783
8.65,25.7813
8.66,25.7845
8.67,25.7876
8.68,25.7908
8.69,25.794
8.7,25.7972
8.71,25.8005
8.72,25.8038
8.73,25.8071
8.74,25.8104
8.75,25.8137
8.76,25.817
8.77,25.8203
8.78,25.8236
8.79,25.8269
8.8,25.8301
8.81,25.8334
8.82,25.8366
8.83,25.8398
8.84,25.843
8.85,25.8461
8.86,25.8492
8.87,25.8523
8.88,25.8553
8.89,25.8583
8.9,25.8612
8.91,25.864
8.92,25.8668
8.93,25.8695
8.94,25.8721
8.95,25.8747
8.96,25.8772
8.97,25.8795
8.98,25.8818
8.99,25.8841
9,25.8862
9.01,25.8882
9.02,25.8901
9.03,25.8919
9.04,25.8936
9.05,25.8951
9.06,25.8966
9.07,25.8979
9.08,25.8991
9.09,25.9002
9.1,25.9011
