t,x_des,y_des,z_des,x_act,y_act,z_act
0,0,10,2,0,10,2
0.01,0.03,9.99996,2,5.26516e-08,10,2
0.02,0.0599996,9.99982,2,8.28057e-07,10,2
0.03,0.0899988,9.9996,2,4.13096e-06,10,2
0.04,0.119997,9.99928,2,1.2848e-05,10,2
0.05,0.149994,9.99888,2,3.08726e-05,9.99999,2
0.06,0.17999,9.99838,2,6.30038e-05,9.99999,2
0.07,0.209985,9.9978,2,0.000114879,9.99998,2
0.08,0.239977,9.99712,2,0.000192886,9.99996,2
0.09,0.269967,9.99636,2,0.000304099,9.99994,2
0.1,0.299955,9.9955,2,0.000456205,9.99991,2
0.11,0.32994,9.99456,2,0.000657446,9.99987,2
0.12,0.359922,9.99352,2,0.000916552,9.99982,2
0.13,0.389901,9.9924,2,0.0012427,9.99975,2
0.14,0.419877,9.99118,2,0.00164543,9.99967,2
0.15,0.449848,9.98988,2,0.00213465,9.99957,2
0.16,0.479816,9.98848,2,0.00272054,9.99944,2
0.17,0.509779,9.987,2,0.00341352,9.99929,2
0.18,0.539738,9.98542,2,0.00422425,9.99912,2
0.19,0.569691,9.98376,2,0.00516355,9.99891,2
0.2,0.59964,9.98201,2,0.00624237,9.99867,2
0.21,0.629583,9.98016,2,0.00747179,9.99839,2
0.22,0.659521,9.97823,2,0.00886297,9.99808,2
0.23,0.689453,9.9762,2,0.0104271,9.99772,2
0.24,0.719378,9.97409,2,0.0121754,9.99731,2
0.25,0.749297,9.97189,2,0.0141192,9.99685,2
0.26,0.779209,9.9696,2,0.0162696,9.99634,2
0.27,0.809115,9.96721,2,0.0186379,9.99577,2
0.28,0.839013,9.96474,2,0.0212352,9.99514,2
0.29,0.868903,9.96218,2,0.0240726,9.99444,2
0.3,0.898785,9.95953,2,0.027161,9.99368,2
0.31,0.92866,9.95679,2,0.0305114,9.99284,2
0.32,0.958526,9.95396,2,0.0341345,9.99192,2
0.33,0.988384,9.95104,2,0.0380409,9.99092,2
0.34,1.01823,9.94803,2,0.0422412,9.98983,2
0.35,1.04807,9.94493,2,0.0467456,9.98866,2
0.36,1.0779,9.94174,2,0.0515645,9.98739,2
0.37,1.10772,9.93846,2,0.0567078,9.98602,2
0.38,1.13753,9.93509,2,0.0621854,9.98455,2
0.39,1.16733,9.93163,2,0.0680069,9.98297,2
0.4,1.19712,9.92809,2,0.0741818,9.98129,2
0.41,1.2269,9.92445,2,0.0807194,9.97948,2
0.42,1.25667,9.92072,2,0.0876287,9.97756,2
0.43,1.28643,9.91691,2,0.0949186,9.97552,2
0.44,1.31617,9.91301,2,0.102598,9.97335,2
0.45,1.3459,9.90901,2,0.110675,9.97105,2
0.46,1.37562,9.90493,2,0.119158,9.96861,2
0.47,1.40533,9.90076,2,0.128054,9.96604,2
0.48,1.43503,9.8965,2,0.137373,9.96333,2
0.49,1.46471,9.89215,2,0.147121,9.96047,2
0.5,1.49438,9.88771,2,0.157305,9.95746,2
0.51,1.52404,9.88318,2,0.167933,9.9543,2
0.52,1.55368,9.87857,2,0.179011,9.95098,2
0.53,1.58331,9.87386,2,0.190547,9.94751,2
0.54,1.61292,9.86907,2,0.202547,9.94388,2
0.55,1.64252,9.86418,2,0.215016,9.94008,2
0.56,1.67211,9.85921,2,0.227961,9.93611,2
0.57,1.70168,9.85415,2,0.241388,9.93198,2
0.58,1.73123,9.849,2,0.255301,9.92768,2
0.59,1.76077,9.84376,2,0.269708,9.9232,2
0.6,1.7903,9.83844,2,0.284611,9.91855,2
0.61,1.8198,9.83302,2,0.300018,9.91371,2
0.62,1.84929,9.82752,2,0.315931,9.9087,2
0.63,1.87877,9.82193,2,0.332357,9.90351,2
0.64,1.90823,9.81625,2,0.349298,9.89814,2
0.65,1.93767,9.81048,2,0.366759,9.89259,2
0.66,1.96709,9.80462,2,0.384745,9.88685,2
0.67,1.99649,9.79867,2,0.403258,9.88092,2
0.68,2.02588,9.79264,2,0.422303,9.87482,2
0.69,2.05525,9.78652,2,0.441882,9.86852,2
0.7,2.0846,9.78031,2,0.461999,9.86204,2
0.71,2.11393,9.77401,2,0.482658,9.85537,2
0.72,2.14324,9.76763,2,0.50386,9.84852,2
0.73,2.17254,9.76115,2,0.525609,9.84149,2
0.74,2.20181,9.75459,2,0.547907,9.83426,2
0.75,2.23106,9.74794,2,0.570756,9.82686,2
0.76,2.2603,9.7412,2,0.59416,9.81927,2
0.77,2.28951,9.73438,2,0.618119,9.8115,2
0.78,2.3187,9.72747,2,0.642637,9.80354,2
0.79,2.34788,9.72047,2,0.667714,9.79541,2
0.8,2.37703,9.71338,2,0.693354,9.7871,2
0.81,2.40616,9.7062,2,0.719556,9.77861,2
0.82,2.43526,9.69894,2,0.746324,9.76995,2
0.83,2.46435,9.69159,2,0.773657,9.76112,2
0.84,2.49341,9.68416,2,0.801559,9.75212,2
0.85,2.52245,9.67663,2,0.830029,9.74295,2
0.86,2.55147,9.66902,2,0.85907,9.73361,2
0.87,2.58047,9.66132,2,0.888681,9.72412,2
0.88,2.60944,9.65354,2,0.918864,9.71446,2
0.89,2.63839,9.64567,2,0.94962,9.70465,2
0.9,2.66731,9.63771,2,0.98095,9.69468,2
0.91,2.69622,9.62966,2,1.01285,9.68456,2
0.92,2.72509,9.62153,2,1.04533,9.67429,2
0.93,2.75394,9.61331,2,1.07839,9.66389,2
0.94,2.78277,9.60501,2,1.11202,9.65334,2
0.95,2.81157,9.59662,2,1.14622,9.64265,2
0.96,2.84035,9.58814,2,1.18101,9.63183,2
0.97,2.8691,9.57957,2,1.21636,9.62088,2
0.98,2.89783,9.57092,2,1.2523,9.60981,2
0.99,2.92653,9.56219,2,1.2888,9.59862,2
1,2.9552,9.55336,2,1.32587,9.5873,2
1.01,2.98385,9.54446,2,1.36351,9.57588,2
1.02,3.01247,9.53546,2,1.40172,9.56434,2
1.03,3.04106,9.52638,2,1.44048,9.5527,2
1.04,3.06963,9.51722,2,1.4798,9.54096,2
1.05,3.09816,9.50796,2,1.51967,9.52912,2
1.06,3.12667,9.49863,2,1.56007,9.51719,2
1.07,3.15516,9.4892,2,1.60102,9.50518,2
1.08,3.18361,9.4797,2,1.64249,9.49308,2
1.09,3.21203,9.4701,2,1.68448,9.4809,2
1.1,3.24043,9.46042,2,1.72698,9.46864,2
1.11,3.2688,9.45066,2,1.76998,9.45632,2
1.12,3.29713,9.44081,2,1.81346,9.44392,2
1.13,3.32544,9.43088,2,1.85743,9.43147,2
1.14,3.35372,9.42086,2,1.90186,9.41896,2
1.15,3.38197,9.41075,2,1.94674,9.40639,2
1.16,3.41018,9.40057,2,1.99206,9.39377,2
1.17,3.43837,9.39029,2,2.0378,9.38111,2
1.18,3.46653,9.37994,2,2.08395,9.3684,2
1.19,3.49465,9.36949,2,2.1305,9.35566,2
1.2,3.52274,9.35897,2,2.17742,9.34287,2
1.21,3.5508,9.34836,2,2.22471,9.33006,2
1.22,3.57883,9.33766,2,2.27234,9.31722,2
1.23,3.60683,9.32688,2,2.32031,9.30435,2
1.24,3.63479,9.31602,2,2.36858,9.29145,2
1.25,3.66273,9.30508,2,2.41714,9.27854,2
1.26,3.69062,9.29405,2,2.46597,9.26561,2
1.27,3.71849,9.28293,2,2.51506,9.25267,2
1.28,3.74632,9.27174,2,2.56439,9.23971,2
1.29,3.77412,9.26045,2,2.61393,9.22674,2
1.3,3.80188,9.24909,2,2.66366,9.21377,2
1.31,3.82961,9.23764,2,2.71357,9.20079,2
1.32,3.85731,9.22611,2,2.76364,9.1878,2
1.33,3.88497,9.2145,2,2.81384,9.17482,2
1.34,3.9126,9.2028,2,2.86416,9.16183,2
1.35,3.94019,9.19102,2,2.91457,9.14885,2
1.36,3.96774,9.17916,2,2.96506,9.13586,2
1.37,3.99526,9.16722,2,3.01561,9.12289,2
1.38,4.02275,9.15519,2,3.06619,9.10991,2
1.39,4.05019,9.14308,2,3.11679,9.09695,2
1.4,4.0776,9.13089,2,3.1674,9.08399,2
1.41,4.10498,9.11862,2,3.21798,9.07103,2
1.42,4.13232,9.10626,2,3.26852,9.05809,2
1.43,4.15962,9.09382,2,3.31901,9.04515,2
1.44,4.18688,9.0813,2,3.36942,9.03223,2
1.45,4.2141,9.0687,2,3.41974,9.01931,2
1.46,4.24129,9.05602,2,3.46995,9.0064,2
1.47,4.26844,9.04325,2,3.52004,8.99351,2
1.48,4.29555,9.03041,2,3.56998,8.98062,2
1.49,4.32262,9.01748,2,3.61976,8.96774,2
1.5,4.34966,9.00447,2,3.66937,8.95487,2
1.51,4.37665,8.99138,2,3.71878,8.942,2
1.52,4.4036,8.97821,2,3.76799,8.92915,2
1.53,4.43052,8.96496,2,3.81698,8.9163,2
1.54,4.45739,8.95163,2,3.86572,8.90345,2
1.55,4.48423,8.93822,2,3.91422,8.89061,2
1.56,4.51102,8.92472,2,3.96244,8.87778,2
1.57,4.53778,8.91115,2,4.01039,8.86494,2
1.58,4.56449,8.8975,2,4.05805,8.85211,2
1.59,4.59116,8.88376,2,4.10539,8.83928,2
1.6,4.61779,8.86995,2,4.15242,8.82644,2
1.61,4.64438,8.85606,2,4.19911,8.8136,2
1.62,4.67093,8.84208,2,4.24546,8.80075,2
1.63,4.69743,8.82803,2,4.29146,8.78789,2
1.64,4.7239,8.8139,2,4.33709,8.77502,2
1.65,4.75032,8.79969,2,4.38234,8.76214,2
1.66,4.77669,8.7854,2,4.4272,8.74924,2
1.67,4.80303,8.77103,2,4.47166,8.73632,2
1.68,4.82932,8.75658,2,4.51571,8.72339,2
1.69,4.85557,8.74205,2,4.55934,8.71042,2
1.7,4.88177,8.72745,2,4.60255,8.69744,2
1.71,4.90793,8.71276,2,4.64531,8.68442,2
1.72,4.93405,8.698,2,4.68764,8.67137,2
1.73,4.96012,8.68316,2,4.7295,8.65829,2
1.74,4.98615,8.66824,2,4.77091,8.64516,2
1.75,5.01213,8.65324,2,4.81185,8.632,2
1.76,5.03807,8.63816,2,4.85231,8.61879,2
1.77,5.06396,8.62301,2,4.89229,8.60553,2
1.78,5.08981,8.60778,2,4.93178,8.59222,2
1.79,5.11561,8.59247,2,4.97077,8.57885,2
1.8,5.14136,8.57709,2,5.00927,8.56543,2
1.81,5.16707,8.56162,2,5.04725,8.55194,2
1.82,5.19273,8.54608,2,5.08472,8.53839,2
1.83,5.21834,8.53047,2,5.12168,8.52477,2
1.84,5.24391,8.51477,2,5.15811,8.51107,2
1.85,5.26943,8.499,2,5.19401,8.4973,2
1.86,5.29491,8.48316,2,5.22939,8.48345,2
1.87,5.32033,8.46724,2,5.26423,8.46951,2
1.88,5.34571,8.45124,2,5.29853,8.45549,2
1.89,5.37104,8.43516,2,5.33229,8.44138,2
1.9,5.39632,8.41901,2,5.3655,8.42717,2
1.91,5.42155,8.40278,2,5.39817,8.41286,2
1.92,5.44674,8.38648,2,5.43029,8.39845,2
1.93,5.47187,8.3701,2,5.46186,8.38394,2
1.94,5.49696,8.35365,2,5.49288,8.36932,2
1.95,5.52199,8.33712,2,5.52336,8.35459,2
1.96,5.54698,8.32052,2,5.55328,8.33974,2
1.97,5.57192,8.30384,2,5.58266,8.32478,2
1.98,5.5968,8.28709,2,5.61149,8.3097,2
1.99,5.62164,8.27026,2,5.63979,8.2945,2
2,5.64642,8.25336,2,5.66754,8.27917,2
2.01,5.67116,8.23638,2,5.69476,8.26371,2
2.02,5.69584,8.21933,2,5.72145,8.24812,2
2.03,5.72048,8.2022,2,5.74762,8.2324,2
2.04,5.74506,8.18501,2,5.77327,8.21655,2
2.05,5.76959,8.16773,2,5.79841,8.20056,2
2.06,5.79406,8.15039,2,5.82305,8.18443,2
2.07,5.81849,8.13297,2,5.84719,8.16816,2
2.08,5.84286,8.11548,2,5.87084,8.15176,2
2.09,5.86718,8.09791,2,5.89402,8.13521,2
2.1,5.89145,8.08028,2,5.91672,8.11851,2
2.11,5.91566,8.06256,2,5.93897,8.10168,2
2.12,5.93982,8.04478,2,5.96077,8.0847,2
2.13,5.96393,8.02693,2,5.98213,8.06757,2
2.14,5.98798,8.009,2,6.00307,8.0503,2
2.15,6.01198,7.991,2,6.02359,8.03288,2
2.16,6.03593,7.97293,2,6.04371,8.01531,2
2.17,6.05982,7.95478,2,6.06344,7.9976,2
2.18,6.08366,7.93657,2,6.0828,7.97974,2
2.19,6.10744,7.91828,2,6.10179,7.96173,2
2.2,6.13117,7.89992,2,6.12043,7.94358,2
2.21,6.15484,7.88149,2,6.13874,7.92529,2
2.22,6.17846,7.86299,2,6.15672,7.90684,2
2.23,6.20202,7.84442,2,6.1744,7.88826,2
2.24,6.22552,7.82578,2,6.19178,7.86952,2
2.25,6.24897,7.80707,2,6.20889,7.85065,2
2.26,6.27237,7.78829,2,6.22573,7.83163,2
2.27,6.2957,7.76944,2,6.24232,7.81248,2
2.28,6.31898,7.75051,2,6.25868,7.79318,2
2.29,6.34221,7.73152,2,6.27482,7.77375,2
2.3,6.36537,7.71246,2,6.29076,7.75417,2
2.31,6.38848,7.69333,2,6.3065,7.73447,2
2.32,6.41153,7.67413,2,6.32208,7.71462,2
2.33,6.43453,7.65486,2,6.33749,7.69465,2
2.34,6.45746,7.63552,2,6.35277,7.67454,2
2.35,6.48034,7.61612,2,6.36791,7.65431,2
2.36,6.50316,7.59664,2,6.38295,7.63395,2
2.37,6.52592,7.5771,2,6.39789,7.61346,2
2.38,6.54862,7.55748,2,6.41275,7.59285,2
2.39,6.57126,7.5378,2,6.42754,7.57211,2
2.4,6.59385,7.51806,2,6.44228,7.55126,2
2.41,6.61637,7.49824,2,6.45699,7.53029,2
2.42,6.63884,7.47836,2,6.47168,7.5092,2
2.43,6.66124,7.45841,2,6.48636,7.488,2
2.44,6.68359,7.43839,2,6.50105,7.46669,2
2.45,6.70587,7.41831,2,6.51576,7.44527,2
2.46,6.7281,7.39816,2,6.53052,7.42374,2
2.47,6.75026,7.37794,2,6.54532,7.40211,2
2.48,6.77236,7.35766,2,6.5602,7.38038,2
2.49,6.79441,7.3373,2,6.57515,7.35855,2
2.5,6.81639,7.31689,2,6.5902,7.33663,2
2.51,6.83831,7.29641,2,6.60535,7.31461,2
2.52,6.86017,7.27586,2,6.62062,7.29249,2
2.53,6.88196,7.25525,2,6.63603,7.27029,2
2.54,6.9037,7.23457,2,6.65158,7.24801,2
2.55,6.92537,7.21382,2,6.66729,7.22563,2
2.56,6.94698,7.19302,2,6.68317,7.20318,2
2.57,6.96853,7.17214,2,6.69922,7.18066,2
2.58,6.99001,7.1512,2,6.71547,7.15805,2
2.59,7.01144,7.1302,2,6.73191,7.13538,2
2.6,7.03279,7.10914,2,6.74857,7.11263,2
2.61,7.05409,7.08801,2,6.76545,7.08982,2
2.62,7.07532,7.06681,2,6.78255,7.06694,2
2.63,7.09649,7.04555,2,6.7999,7.04401,2
2.64,7.1176,7.02423,2,6.81748,7.02101,2
2.65,7.13864,7.00285,2,6.83532,6.99796,2
2.66,7.15961,6.9814,2,6.85342,6.97486,2
2.67,7.18052,6.95989,2,6.87178,6.95171,2
2.68,7.20137,6.93832,2,6.89041,6.92851,2
2.69,7.22215,6.91668,2,6.90932,6.90527,2
2.7,7.24287,6.89498,2,6.92851,6.88199,2
2.71,7.26352,6.87322,2,6.94798,6.85866,2
2.72,7.28411,6.8514,2,6.96773,6.83531,2
2.73,7.30463,6.82952,2,6.98777,6.81192,2
2.74,7.32509,6.80758,2,7.00811,6.7885,2
2.75,7.34548,6.78557,2,7.02873,6.76505,2
2.76,7.3658,6.7635,2,7.04965,6.74157,2
2.77,7.38606,6.74137,2,7.07086,6.71807,2
2.78,7.40625,6.71919,2,7.09236,6.69456,2
2.79,7.42637,6.69694,2,7.11414,6.67102,2
2.8,7.44643,6.67463,2,7.13622,6.64747,2
2.81,7.46642,6.65226,2,7.15858,6.6239,2
2.82,7.48634,6.62983,2,7.18122,6.60032,2
2.83,7.5062,6.60734,2,7.20414,6.57673,2
2.84,7.52599,6.58479,2,7.22733,6.55314,2
2.85,7.54571,6.56219,2,7.25079,6.52953,2
2.86,7.56536,6.53952,2,7.27451,6.50593,2
2.87,7.58495,6.51679,2,7.29848,6.48231,2
2.88,7.60446,6.49401,2,7.32271,6.4587,2
2.89,7.62391,6.47117,2,7.34718,6.43509,2
2.9,7.64329,6.44827,2,7.37188,6.41148,2
2.91,7.6626,6.42531,2,7.39681,6.38787,2
2.92,7.68184,6.40229,2,7.42196,6.36426,2
2.93,7.70101,6.37922,2,7.44731,6.34066,2
2.94,7.72012,6.35608,2,7.47287,6.31706,2
2.95,7.73915,6.3329,2,7.49862,6.29346,2
2.96,7.75811,6.30965,2,7.52454,6.26988,2
2.97,7.77701,6.28635,2,7.55063,6.2463,2
2.98,7.79583,6.26299,2,7.57689,6.22272,2
2.99,7.81459,6.23957,2,7.60328,6.19915,2
3,7.83327,6.2161,2,7.62982,6.17559,2
3.01,7.85188,6.19257,2,7.65647,6.15204,2
3.02,7.87042,6.16899,2,7.68324,6.12849,2
3.03,7.8889,6.14535,2,7.7101,6.10496,2
3.04,7.9073,6.12166,2,7.73705,6.08142,2
3.05,7.92563,6.09791,2,7.76408,6.0579,2
3.06,7.94388,6.0741,2,7.79116,6.03437,2
3.07,7.96207,6.05024,2,7.81829,6.01086,2
3.08,7.98019,6.02633,2,7.84545,5.98734,2
3.09,7.99823,6.00236,2,7.87263,5.96383,2
3.1,8.0162,5.97834,2,7.89982,5.94033,2
3.11,8.0341,5.95426,2,7.92699,5.91682,2
3.12,8.05192,5.93014,2,7.95415,5.89331,2
3.13,8.06968,5.90595,2,7.98126,5.8698,2
3.14,8.08736,5.88172,2,8.00833,5.84629,2
3.15,8.10497,5.85743,2,8.03533,5.82277,2
3.16,8.12251,5.83309,2,8.06224,5.79925,2
3.17,8.13997,5.80869,2,8.08907,5.77572,2
3.18,8.15736,5.78425,2,8.11579,5.75219,2
3.19,8.17467,5.75975,2,8.14238,5.72864,2
3.2,8.19192,5.7352,2,8.16884,5.70508,2
3.21,8.20908,5.7106,2,8.19514,5.6815,2
3.22,8.22618,5.68595,2,8.22128,5.65791,2
3.23,8.2432,5.66124,2,8.24725,5.6343,2
3.24,8.26015,5.63649,2,8.27302,5.61066,2
3.25,8.27702,5.61168,2,8.29859,5.58701,2
3.26,8.29382,5.58682,2,8.32394,5.56333,2
3.27,8.31054,5.56192,2,8.34906,5.53962,2
3.28,8.32719,5.53696,2,8.37394,5.51589,2
3.29,8.34376,5.51195,2,8.39856,5.49212,2
3.3,8.36026,5.4869,2,8.42291,5.46832,2
3.31,8.37668,5.46179,2,8.44699,5.44448,2
3.32,8.39303,5.43664,2,8.47077,5.4206,2
3.33,8.4093,5.41144,2,8.49425,5.39669,2
3.34,8.4255,5.38618,2,8.51741,5.37272,2
