t,x_true,x_est,y_true,y_est,z_true,z_est,vx_true,vx_est,vy_true,vy_est,vz_true,vz_est,phi_true,phi_est,theta_true,theta_est,psi_true,psi_est,p_true,p_est,q_true,q_est,r_true,r_est,x_noisy,y_noisy,z_noisy,phi_noisy,theta_noisy,psi_noisy
0,4.60183,4.53389,4.96252,4.97239,0.313534,0.326304,0,0.0094759,0,0.0125636,0,-0.0380107,0.0259383,-0.00345855,-0.00691345,0.00752667,0.0170917,0.00424661,0,0.0626328,0,0.0292213,0,-0.000779465,4.60183,4.96252,0.313534,0.0259383,-0.00691345,0.0170917
0.01,4.60183,4.5357,4.9625,4.97775,0.314015,0.327399,-0.00133812,0.0105157,-0.00498231,0.0123197,0.096276,0.0597627,0.0246532,-0.00580126,-0.00812176,0.00280807,0.0170938,0.0045295,-0.251069,-0.180584,-0.23606,-0.22402,0.00041525,-0.000112304,4.60183,4.9625,0.314015,0.0246532,-0.00812176,0.0170938
0.02,4.60181,4.53772,4.96242,4.98177,0.31546,0.328365,-0.00313816,0.0112827,-0.00948993,0.0112744,0.19256,0.159804,0.0210301,-0.0111053,-0.0115283,-0.00409973,0.0171,0.00472373,-0.46819,-0.395233,-0.440201,-0.448885,0.000836202,0.000578833,4.60181,4.96242,0.31546,0.0210301,-0.0115283,0.0171
0.03,4.60176,4.53891,4.96231,4.98458,0.317867,0.330121,-0.00580476,0.010446,-0.0131071,0.012196,0.288852,0.261397,0.015391,-0.0189309,-0.0168302,-0.0123714,0.0171105,0.00487179,-0.654806,-0.582037,-0.615661,-0.64326,0.00126271,0.00130226,4.60176,4.96231,0.317867,0.015391,-0.0168302,0.0171105
0.04,4.60169,4.53894,4.96216,4.98666,0.321237,0.333071,-0.00968585,0.00740924,-0.0154761,0.0163693,0.385142,0.363492,0.00802517,-0.0286953,-0.0237557,-0.0214833,0.0171253,0.00500519,-0.814049,-0.742431,-0.765385,-0.808019,0.00169461,0.00205211,4.60169,4.96216,0.321237,0.00802517,-0.0237557,0.0171253
0.05,4.60156,4.53789,4.962,4.98844,0.325569,0.337269,-0.015078,0.00200684,-0.0162921,0.0240165,0.481409,0.464952,-0.000808253,-0.0398112,-0.0320611,-0.0311724,0.0171444,0.00513428,-0.948768,-0.878257,-0.89205,-0.945467,0.00213177,0.00281748,4.60156,4.962,0.325569,-0.000808253,-0.0320611,0.0171444
0.06,4.60138,4.53595,4.96184,4.99016,0.330865,0.342603,-0.0222317,-0.00580582,-0.0152969,0.0348973,0.577618,0.564825,-0.0108771,-0.0517676,-0.041528,-0.0413292,0.0171679,0.00524967,-1.06155,-0.991751,-0.99809,-1.05839,0.00257403,0.00358997,4.60138,4.96184,0.330865,-0.0108771,-0.041528,0.0171679
0.07,4.60111,4.53332,4.96171,4.99191,0.337121,0.348926,-0.0313554,-0.0160748,-0.0122746,0.048671,0.673723,0.662396,-0.021974,-0.0641697,-0.0519615,-0.0519129,0.0171959,0.00533112,-1.15475,-1.08534,-1.08572,-1.14963,0.00302126,0.00436533,4.60111,4.96171,0.337121,-0.021974,-0.0519615,0.0171959
0.08,4.60074,4.53014,4.96161,4.99364,0.344339,0.35612,-0.0426198,-0.0288347,-0.00704718,0.0650283,0.769668,0.757142,-0.0339139,-0.0767462,-0.0631876,-0.0628948,0.0172284,0.00535797,-1.23049,-1.16145,-1.15693,-1.22205,0.00347329,0.00514227,4.60074,4.96161,0.344339,-0.0339139,-0.0631876,0.0172284
0.09,4.60025,4.5265,4.96157,4.9953,0.352514,0.364108,-0.0561633,-0.0440585,0.000531074,0.0837026,0.865403,0.848665,-0.0465321,-0.0893346,-0.0750515,-0.0742302,0.0172654,0.00531598,-1.29071,-1.22241,-1.21355,-1.27851,0.00393,0.00592074,4.60025,4.96157,0.352514,-0.0465321,-0.0750515,0.0172654
0.1,4.59961,4.52249,4.96163,4.99683,0.361638,0.372867,-0.0718962,-0.0616417,0.0104477,0.104463,0.95859,0.93665,-0.0596823,-0.101856,-0.0874156,-0.085852,0.017307,0.00519907,-1.33717,-1.27029,-1.25723,-1.32173,0.00439122,0.00670073,4.59961,4.96163,0.361638,-0.0596823,-0.0874156,0.017307
0.11,4.59881,4.51821,4.96179,4.99821,0.371664,0.38241,-0.0894919,-0.0814163,0.022496,0.127109,1.04542,1.02083,-0.0732349,-0.114286,-0.100158,-0.0976796,0.0173532,0.00500801,-1.37145,-1.30691,-1.28946,-1.35413,0.00485683,0.007482,4.59881,4.96179,0.371664,-0.0732349,-0.100158,0.0173532
0.12,4.59782,4.51373,4.96208,4.99943,0.382527,0.39278,-0.108895,-0.10318,0.0366109,0.151468,1.12631,1.101,-0.0870754,-0.126627,-0.113171,-0.109631,0.0174041,0.00474781,-1.39498,-1.33374,-1.31158,-1.37773,0.00532667,0.00826395,4.59782,4.96208,0.382527,-0.0870754,-0.113171,0.0174041
0.13,4.59662,4.50917,4.96253,5.00054,0.394171,0.404035,-0.130025,-0.126725,0.0527082,0.177395,1.2015,1.17699,-0.101103,-0.138889,-0.12636,-0.121633,0.0174598,0.00442476,-1.40906,-1.35191,-1.32482,-1.39408,0.0058006,0.00904588,4.59662,4.96253,0.394171,-0.101103,-0.12636,0.0174598
0.14,4.59521,4.50462,4.96314,5.00162,0.406539,0.416231,-0.152796,-0.15185,0.0706969,0.204785,1.27126,1.24866,-0.115229,-0.151085,-0.139642,-0.133623,0.0175202,0.00404526,-1.41486,-1.36229,-1.33028,-1.40427,0.00627849,0.00982708,4.59521,4.96314,0.406539,-0.115229,-0.139642,0.0175202
0.15,4.59356,4.50017,4.96395,5.00275,0.419579,0.429406,-0.177113,-0.178372,0.0904812,0.233565,1.33585,1.31589,-0.129376,-0.163213,-0.152943,-0.14555,0.0175854,0.00361488,-1.41343,-1.36554,-1.32894,-1.40904,0.00676019,0.010607,4.59356,4.96395,0.419579,-0.129376,-0.152943,0.0175854
0.16,4.59166,4.49589,4.96496,5.00405,0.43324,0.443565,-0.202882,-0.206109,0.111963,0.263679,1.39552,1.3786,-0.143477,-0.175263,-0.166201,-0.157363,0.0176554,0.00313866,-1.40573,-1.36222,-1.3217,-1.4088,0.00724556,0.0113851,4.59166,4.96496,0.43324,-0.143477,-0.166201,0.0176554
0.17,4.5895,4.49186,4.96619,5.00563,0.447474,0.458664,-0.230005,-0.234883,0.135043,0.295075,1.45048,1.43672,-0.157473,-0.187204,-0.17936,-0.169007,0.0177303,0.00262195,-1.39262,-1.35288,-1.30936,-1.40372,0.00773446,0.0121607,4.5895,4.96619,0.447474,-0.157473,-0.17936,0.0177303
0.18,4.58706,4.48813,4.96766,5.00759,0.462235,0.474605,-0.258386,-0.264501,0.159624,0.327681,1.50099,1.49017,-0.171314,-0.198992,-0.192373,-0.180411,0.0178101,0.00207148,-1.37485,-1.33812,-1.29266,-1.3938,0.00822676,0.0129326,4.58706,4.96766,0.462235,-0.171314,-0.192373,0.0178101
0.19,4.58433,4.48473,4.96939,5.01002,0.477479,0.491225,-0.287932,-0.294756,0.185611,0.361385,1.54723,1.53892,-0.184956,-0.210561,-0.205201,-0.191482,0.0178948,0.00149674,-1.35312,-1.31867,-1.27223,-1.3789,0.00872232,0.013699,4.58433,4.96939,0.477479,-0.184956,-0.205201,0.0178948
