t,x_des,y_des,z_des,x_act,y_act,z_act
0,0,0,2.5,0,0,2.5
0.01,0.03,0.0299998,2.5,5.15502e-08,5.15521e-08,2.5
0.02,0.0599996,0.0599986,2.49998,8.21046e-07,8.21086e-07,2.49998
0.03,0.0899988,0.0899951,2.49996,4.09231e-06,4.09279e-06,2.49996
0.04,0.119997,0.119988,2.49993,1.27294e-05,1.2732e-05,2.49993
0.05,0.149994,0.149978,2.49989,3.05842e-05,3.05943e-05,2.49989
0.06,0.17999,0.179961,2.49984,6.24123e-05,6.24427e-05,2.49984
0.07,0.209985,0.209938,2.49978,0.000113791,0.000113868,2.49978
0.08,0.239977,0.239908,2.49971,0.000191041,0.000191215,2.49971
0.09,0.269967,0.269869,2.49964,0.000301159,0.000301515,2.49964
0.1,0.299955,0.29982,2.49955,0.000451744,0.00045242,2.49955
0.11,0.32994,0.32976,2.49946,0.000650934,0.000652145,2.49946
0.12,0.359922,0.359689,2.49935,0.00090735,0.000909413,2.49935
0.13,0.389901,0.389605,2.49924,0.00123004,0.00123341,2.49924
0.14,0.419877,0.419506,2.49912,0.00162841,0.00163371,2.49912
0.15,0.449848,0.449393,2.49899,0.00211221,0.0021203,2.49899
0.16,0.479816,0.479263,2.49885,0.00269145,0.00270347,2.49885
0.17,0.509779,0.509116,2.4987,0.00337638,0.00339379,2.4987
0.18,0.539738,0.538951,2.49854,0.00417744,0.00420213,2.49854
0.19,0.569691,0.568766,2.49838,0.00510523,0.00513957,2.49838
0.2,0.59964,0.598561,2.4982,0.00617049,0.0062174,2.4982
0.21,0.629583,0.628334,2.49802,0.00738402,0.0074471,2.49802
0.22,0.659521,0.658085,2.49782,0.0087567,0.00884028,2.49782
0.23,0.689453,0.687812,2.49762,0.0102994,0.0104087,2.49762
0.24,0.719378,0.717514,2.49741,0.0120232,0.0121643,2.49741
0.25,0.749297,0.747191,2.49719,0.0139387,0.014119,2.49719
0.26,0.779209,0.77684,2.49696,0.0160571,0.0162848,2.49696
0.27,0.809115,0.806462,2.49672,0.018389,0.018674,2.49672
0.28,0.839013,0.836054,2.49647,0.0209451,0.0212986,2.49647
0.29,0.868903,0.865617,2.49622,0.0237362,0.0241708,2.49622
0.3,0.898785,0.895148,2.49595,0.0267726,0.0273028,2.49595
0.31,0.92866,0.924647,2.49568,0.0300649,0.0307069,2.49568
0.32,0.958526,0.954113,2.4954,0.0336232,0.0343953,2.4954
0.33,0.988384,0.983544,2.4951,0.0374576,0.03838,2.4951
0.34,1.01823,1.01294,2.4948,0.0415781,0.0426733,2.4948
0.35,1.04807,1.0423,2.49449,0.0459944,0.0472872,2.49449
0.36,1.0779,1.07162,2.49417,0.050716,0.0522338,2.49417
0.37,1.10772,1.1009,2.49385,0.0557523,0.0575248,2.49385
0.38,1.13753,1.13015,2.49351,0.0611125,0.0631723,2.49351
0.39,1.16733,1.15935,2.49316,0.0668054,0.0691879,2.49316
0.4,1.19712,1.18851,2.49281,0.0728398,0.0755833,2.49281
0.41,1.2269,1.21763,2.49245,0.0792242,0.08237,2.49245
0.42,1.25667,1.24671,2.49207,0.0859668,0.0895593,2.49207
0.43,1.28643,1.27574,2.49169,0.0930755,0.0971626,2.49169
0.44,1.31617,1.30472,2.4913,0.100558,0.105191,2.4913
0.45,1.3459,1.33366,2.4909,0.108423,0.113655,2.4909
0.46,1.37562,1.36255,2.49049,0.116676,0.122566,2.49049
0.47,1.40533,1.39139,2.49008,0.125324,0.131934,2.49008
0.48,1.43503,1.42018,2.48965,0.134376,0.141769,2.48965
0.49,1.46471,1.44891,2.48921,0.143836,0.152083,2.48921
0.5,1.49438,1.4776,2.48877,0.153712,0.162884,2.48877
0.51,1.52404,1.50623,2.48832,0.164009,0.174183,2.48832
0.52,1.55368,1.53481,2.48786,0.174733,0.185989,2.48786
0.53,1.58331,1.56334,2.48739,0.185889,0.198312,2.48739
0.54,1.61292,1.5918,2.48691,0.197483,0.21116,2.48691
0.55,1.64252,1.62022,2.48642,0.20952,0.224543,2.48642
0.56,1.67211,1.64857,2.48592,0.222005,0.238469,2.48592
0.57,1.70168,1.67686,2.48542,0.234942,0.252947,2.48542
0.58,1.73123,1.70509,2.4849,0.248334,0.267985,2.4849
0.59,1.76077,1.73326,2.48438,0.262188,0.283591,2.48438
0.6,1.7903,1.76137,2.48384,0.276505,0.299773,2.48384
0.61,1.8198,1.78942,2.4833,0.29129,0.316538,2.4833
0.62,1.84929,1.8174,2.48275,0.306546,0.333893,2.48275
0.63,1.87877,1.84531,2.48219,0.322275,0.351846,2.48219
0.64,1.90823,1.87316,2.48162,0.338482,0.370404,2.48162
0.65,1.93767,1.90094,2.48105,0.355169,0.389573,2.48105
0.66,1.96709,1.92865,2.48046,0.372337,0.409359,2.48046
0.67,1.99649,1.9563,2.47987,0.38999,0.429769,2.47987
0.68,2.02588,1.98387,2.47926,0.408129,0.450808,2.47926
0.69,2.05525,2.01137,2.47865,0.426757,0.472483,2.47865
0.7,2.0846,2.0388,2.47803,0.445874,0.494798,2.47803
0.71,2.11393,2.06616,2.4774,0.465483,0.51776,2.4774
0.72,2.14324,2.09344,2.47676,0.485585,0.541372,2.47676
0.73,2.17254,2.12065,2.47612,0.506181,0.565641,2.47612
0.74,2.20181,2.14778,2.47546,0.527271,0.59057,2.47546
0.75,2.23106,2.17483,2.47479,0.548858,0.616165,2.47479
0.76,2.2603,2.2018,2.47412,0.570941,0.642429,2.47412
0.77,2.28951,2.2287,2.47344,0.593521,0.669366,2.47344
0.78,2.3187,2.25551,2.47275,0.616598,0.69698,2.47275
