t,x_true,x_est,y_true,y_est,z_true,z_est,vx_true,vx_est,vy_true,vy_est,vz_true,vz_est,phi_true,phi_est,theta_true,theta_est,psi_true,psi_est,p_true,p_est,q_true,q_est,r_true,r_est,x_noisy,y_noisy,z_noisy,phi_noisy,theta_noisy,psi_noisy
0,4.60183,4.59672,4.96252,4.9564,0.313534,0.310929,0,-0.00133863,0,0.00123802,0,0.012783,0.0259383,-0.00724329,-0.00691345,0.000687681,0.0170917,-0.00096786,0,0.0220835,0,-0.0046901,0,-0.000585541,4.60183,4.96252,0.313534,0.0259383,-0.00691345,0.0170917
0.01,4.60183,4.59523,4.9625,4.95625,0.314015,0.311196,-0.00131245,-0.000247136,-0.00512471,0.000674874,0.0962725,0.108066,0.0268294,-0.00676586,-0.00776841,-0.000297558,0.0171605,-0.00156158,0.173505,0.208943,-0.166334,-0.169864,0.0137447,0.0133871,4.60183,4.9625,0.314015,0.0268294,-0.00776841,0.0171605
0.02,4.60181,4.59325,4.96242,4.95463,0.315459,0.312812,-0.00293741,6.50287e-05,-0.010588,8.49366e-05,0.192533,0.20392,0.0293192,-0.0041323,-0.010152,-0.00292976,0.017366,-0.0018968,0.320261,0.367483,-0.306243,-0.309462,0.027323,0.0272537,4.60181,4.96242,0.315459,0.0293192,-0.010152,0.017366
0.03,4.60177,4.59124,4.96228,4.95226,0.317866,0.315116,-0.00514096,-0.000584289,-0.0166805,-0.000851512,0.28877,0.300251,0.0331547,0.000276633,-0.0138146,-0.00694945,0.0177065,-0.00192797,0.443035,0.501217,-0.422552,-0.42546,0.0407344,0.0409753,4.60177,4.96228,0.317866,0.0331547,-0.0138146,0.0177065
0.04,4.6017,4.58899,4.96208,4.94988,0.321235,0.318209,-0.0081439,-0.00222644,-0.0236461,-0.00257784,0.384966,0.396742,0.0381084,0.00608594,-0.0185329,-0.012128,0.0181802,-0.00166675,0.544321,0.612523,-0.517796,-0.520054,0.0539786,0.0544885,4.6017,4.96208,0.321235,0.0381084,-0.0185329,0.0181802
0.05,4.6016,4.58677,4.96181,4.94787,0.325565,0.322333,-0.0121254,-0.00492506,-0.031686,-0.00539201,0.481102,0.493114,0.043977,0.0129605,-0.0241079,-0.0182131,0.0187855,-0.00117332,0.626362,0.703562,-0.594247,-0.595863,0.0670551,0.0677693,4.6016,4.96181,0.325565,0.043977,-0.0241079,0.0187855
0.06,4.60146,4.5849,4.96144,4.94626,0.330857,0.327637,-0.0172281,-0.00876887,-0.0409644,-0.00947908,0.577158,0.589266,0.0505782,0.0206354,-0.0303621,-0.0249726,0.0195207,-0.000506699,0.691182,0.776432,-0.653947,-0.655426,0.0799637,0.0808244,4.60146,4.96144,0.330857,0.0505782,-0.0303621,0.0195207
0.07,4.60125,4.58355,4.96098,4.94496,0.337108,0.33413,-0.0235612,-0.0138487,-0.0516115,-0.0149693,0.673106,0.685205,0.0577493,0.0289085,-0.0371372,-0.0322093,0.0203842,0.000290155,0.740604,0.833043,-0.698728,-0.700809,0.092704,0.0936652,4.60125,4.96098,0.337108,0.0577493,-0.0371372,0.0203842
0.08,4.60098,4.58275,4.96041,4.94389,0.344318,0.341737,-0.0312044,-0.0202498,-0.0637279,-0.0219787,0.768921,0.781049,0.0653445,0.0376268,-0.0442924,-0.0397661,0.0213742,0.0011926,0.776274,0.87509,-0.730244,-0.733586,0.105276,0.106305,4.60098,4.96041,0.344318,0.0653445,-0.0442924,0.0213742
0.09,4.60062,4.58243,4.9597,4.94292,0.352486,0.350345,-0.0402106,-0.0280573,-0.077387,-0.0306253,0.864575,0.877011,0.0732339,0.0466789,-0.0517028,-0.0475259,0.0224891,0.00219184,0.79968,0.904063,-0.749981,-0.754961,0.117679,0.118766,4.60062,4.9597,0.352486,0.0732339,-0.0517028,0.0224891
