t,x_des,y_des,z_des,x_act,y_act,z_act
0,0,10,0,4,5,0
0.01,0.0599996,9.99982,0.02,4,5,0.000481721
0.02,0.119997,9.99928,0.04,4,5,0.00191999
0.03,0.17999,9.99838,0.06,4.00001,5.00001,0.00428631
0.04,0.239977,9.99712,0.08,4.00002,5.00002,0.0075451
0.05,0.299955,9.9955,0.1,4.00006,5.00006,0.0116628
0.06,0.359922,9.99352,0.12,4.00012,5.00012,0.0166067
0.07,0.419877,9.99118,0.14,4.00021,5.00022,0.0223455
0.08,0.479816,9.98848,0.16,4.00036,5.00036,0.0288486
0.09,0.539738,9.98542,0.18,4.00056,5.00056,0.0360868
0.1,0.59964,9.98201,0.2,4.00083,5.00083,0.0440315
0.11,0.659521,9.97823,0.22,4.00118,5.00118,0.0526555
0.12,0.719378,9.97409,0.24,4.00163,5.00163,0.0619322
0.13,0.779209,9.9696,0.26,4.00219,5.0022,0.0718362
0.14,0.839013,9.96474,0.28,4.00287,5.00288,0.0823426
0.15,0.898785,9.95953,0.3,4.00369,5.00371,0.0934277
0.16,0.958526,9.95396,0.32,4.00466,5.00468,0.105068
0.17,1.01823,9.94803,0.34,4.0058,5.00583,0.117243
0.18,1.0779,9.94174,0.36,4.00711,5.00715,0.129929
0.19,1.13753,9.93509,0.38,4.00862,5.00867,0.143107
0.2,1.19712,9.92809,0.4,4.01033,5.0104,0.156756
0.21,1.25667,9.92072,0.42,4.01226,5.01236,0.170857
0.22,1.31617,9.91301,0.44,4.01442,5.01455,0.185391
0.23,1.37562,9.90493,0.46,4.01682,5.01699,0.200341
0.24,1.43503,9.8965,0.48,4.01948,5.0197,0.21569
0.25,1.49438,9.88771,0.5,4.02241,5.02269,0.23142
0.26,1.55368,9.87857,0.52,4.02563,5.02597,0.247515
0.27,1.61292,9.86907,0.54,4.02913,5.02956,0.26396
0.28,1.67211,9.85921,0.56,4.03294,5.03346,0.28074
0.29,1.73123,9.849,0.58,4.03706,5.0377,0.297841
0.3,1.7903,9.83844,0.6,4.04151,5.04228,0.315248
0.31,1.84929,9.82752,0.62,4.04629,5.04721,0.332948
0.32,1.90823,9.81625,0.64,4.05142,5.05252,0.350929
0.33,1.96709,9.80462,0.66,4.0569,5.05821,0.369177
0.34,2.02588,9.79264,0.68,4.06274,5.06429,0.38768
0.35,2.0846,9.78031,0.7,4.06896,5.07077,0.406428
0.36,2.14324,9.76763,0.72,4.07556,5.07767,0.425409
0.37,2.20181,9.75459,0.74,4.08255,5.08499,0.444612
0.38,2.2603,9.7412,0.76,4.08994,5.09276,0.464026
0.39,2.3187,9.72747,0.78,4.09773,5.10097,0.483642
0.4,2.37703,9.71338,0.8,4.10593,5.10964,0.503451
0.41,2.43526,9.69894,0.82,4.11456,5.11877,0.523442
0.42,2.49341,9.68416,0.84,4.12361,5.12839,0.543607
0.43,2.55147,9.66902,0.86,4.13309,5.13849,0.563938
0.44,2.60944,9.65354,0.88,4.143,5.14908,0.584426
0.45,2.66731,9.63771,0.9,4.15337,5.16017,0.605063
0.46,2.72509,9.62153,0.92,4.16418,5.17177,0.625841
0.47,2.78277,9.60501,0.94,4.17544,5.18388,0.646754
0.48,2.84035,9.58814,0.96,4.18717,5.1965,0.667794
0.49,2.89783,9.57092,0.98,4.19936,5.20964,0.688954
0.5,2.9552,9.55336,1,4.21202,5.2233,0.710227
0.51,3.01247,9.53546,1.02,4.22515,5.23747,0.731609
0.52,3.06963,9.51722,1.04,4.23876,5.25216,0.753091
0.53,3.12667,9.49863,1.06,4.25285,5.26736,0.77467
0.54,3.18361,9.4797,1.08,4.26742,5.28307,0.796338
0.55,3.24043,9.46042,1.1,4.28249,5.29928,0.818091
0.56,3.29713,9.44081,1.12,4.29804,5.31598,0.839923
0.57,3.35372,9.42086,1.14,4.3141,5.33317,0.86183
0.58,3.41018,9.40057,1.16,4.33065,5.35084,0.883807
0.59,3.46653,9.37994,1.18,4.3477,5.36897,0.905849
0.6,3.52274,9.35897,1.2,4.36526,5.38754,0.927952
0.61,3.57883,9.33766,1.22,4.38333,5.40656,0.950111
0.62,3.63479,9.31602,1.24,4.40191,5.426,0.972323
0.63,3.69062,9.29405,1.26,4.42101,5.44584,0.994584
0.64,3.74632,9.27174,1.28,4.44062,5.46606,1.01689
0.65,3.80188,9.24909,1.3,4.46076,5.48665,1.03924
0.66,3.85731,9.22611,1.32,4.48142,5.50759,1.06162
0.67,3.9126,9.2028,1.34,4.5026,5.52886,1.08404
0.68,3.96774,9.17916,1.36,4.52431,5.55043,1.1065
0.69,4.02275,9.15519,1.38,4.54656,5.5723,1.12898
0.7,4.0776,9.13089,1.4,4.56933,5.59442,1.15148
0.71,4.13232,9.10626,1.42,4.59265,5.61679,1.17401
0.72,4.18688,9.0813,1.44,4.6165,5.63939,1.19656
0.73,4.24129,9.05602,1.46,4.6409,5.66219,1.21913
0.74,4.29555,9.03041,1.48,4.66584,5.68517,1.24172
0.75,4.34966,9.00447,1.5,4.69133,5.7083,1.26431
0.76,4.4036,8.97821,1.52,4.71737,5.73158,1.28692
0.77,4.45739,8.95163,1.54,4.74396,5.75498,1.30954
0.78,4.51102,8.92472,1.56,4.77111,5.77847,1.33217
0.79,4.56449,8.8975,1.58,4.79881,5.80204,1.3548
0.8,4.61779,8.86995,1.6,4.82707,5.82567,1.37743
0.81,4.67093,8.84208,1.62,4.85589,5.84933,1.40007
0.82,4.7239,8.8139,1.64,4.88528,5.87301,1.4227
0.83,4.77669,8.7854,1.66,4.91523,5.89669,1.44534
0.84,4.82932,8.75658,1.68,4.94576,5.92035,1.46797
0.85,4.88177,8.72745,1.7,4.97685,5.94397,1.4906
0.86,4.93405,8.698,1.72,5.00852,5.96753,1.51322
0.87,4.98615,8.66824,1.74,5.04076,5.99102,1.53583
0.88,5.03807,8.63816,1.76,5.07358,6.01441,1.55844
0.89,5.08981,8.60778,1.78,5.10699,6.03769,1.58104
0.9,5.14136,8.57709,1.8,5.14097,6.06084,1.60363
0.91,5.19273,8.54608,1.82,5.17554,6.08385,1.6262
0.92,5.24391,8.51477,1.84,5.2107,6.1067,1.64877
0.93,5.29491,8.48316,1.86,5.24645,6.12938,1.67132
0.94,5.34571,8.45124,1.88,5.28279,6.15186,1.69386
0.95,5.39632,8.41901,1.9,5.31973,6.17413,1.71638
0.96,5.44674,8.38648,1.92,5.35727,6.19618,1.73888
0.97,5.49696,8.35365,1.94,5.3954,6.218,1.76137
0.98,5.54698,8.32052,1.96,5.43414,6.23957,1.78385
0.99,5.5968,8.28709,1.98,5.47348,6.26088,1.8063
1,5.64642,8.25336,2,5.51343,6.28191,1.82874
1.01,5.69584,8.21933,2.02,5.55398,6.30265,1.85116
1.02,5.74506,8.18501,2.04,5.59515,6.32309,1.87356
1.03,5.79406,8.15039,2.06,5.63693,6.34322,1.89594
1.04,5.84286,8.11548,2.08,5.67932,6.36303,1.9183
1.05,5.89145,8.08028,2.1,5.72231,6.3825,1.94064
1.06,5.93982,8.04478,2.12,5.76589,6.40163,1.96296
1.07,5.98798,8.009,2.14,5.81005,6.4204,1.98526
1.08,6.03593,7.97293,2.16,5.85477,6.43882,2.00753
1.09,6.08366,7.93657,2.18,5.90006,6.45686,2.02979
1.1,6.13117,7.89992,2.2,5.94587,6.47452,2.05202
1.11,6.17846,7.86299,2.22,5.99221,6.4918,2.07423
1.12,6.22552,7.82578,2.24,6.03906,6.50868,2.09642
1.13,6.27237,7.78829,2.26,6.08638,6.52516,2.11858
1.14,6.31898,7.75051,2.28,6.13417,6.54123,2.14072
1.15,6.36537,7.71246,2.3,6.1824,6.55689,2.16284
1.16,6.41153,7.67413,2.32,6.23106,6.57212,2.18494
1.17,6.45746,7.63552,2.34,6.28012,6.58693,2.20701
1.18,6.50316,7.59664,2.36,6.32957,6.60129,2.22906
1.19,6.54862,7.55748,2.38,6.37937,6.61522,2.25109
1.2,6.59385,7.51806,2.4,6.42952,6.6287,2.27309
1.21,6.63884,7.47836,2.42,6.47999,6.64173,2.29507
1.22,6.68359,7.43839,2.44,6.53076,6.65429,2.31703
1.23,6.7281,7.39816,2.46,6.58182,6.66639,2.33896
1.24,6.77236,7.35766,2.48,6.63313,6.67801,2.36087
1.25,6.81639,7.31689,2.5,6.68469,6.68916,2.38275
1.26,6.86017,7.27586,2.52,6.73646,6.69982,2.40462
1.27,6.9037,7.23457,2.54,6.78845,6.70998,2.42646
1.28,6.94698,7.19302,2.56,6.84061,6.71964,2.44827
1.29,6.99001,7.1512,2.58,6.89295,6.7288,2.47006
1.3,7.03279,7.10914,2.6,6.94543,6.73745,2.49183
1.31,7.07532,7.06681,2.62,6.99804,6.74557,2.51358
1.32,7.1176,7.02423,2.64,7.05077,6.75317,2.5353
1.33,7.15961,6.9814,2.66,7.10359,6.76023,2.55701
1.34,7.20137,6.93832,2.68,7.15649,6.76675,2.57868
1.35,7.24287,6.89498,2.7,7.20945,6.77272,2.60034
1.36,7.28411,6.8514,2.72,7.26247,6.77814,2.62197
1.37,7.32509,6.80758,2.74,7.31551,6.78299,2.64358
1.38,7.3658,6.7635,2.76,7.36858,6.78728,2.66517
1.39,7.40625,6.71919,2.78,7.42164,6.79099,2.68674
1.4,7.44643,6.67463,2.8,7.4747,6.79411,2.70828
1.41,7.48634,6.62983,2.82,7.52773,6.79664,2.72981
1.42,7.52599,6.58479,2.84,7.58072,6.79857,2.75131
1.43,7.56536,6.53952,2.86,7.63366,6.7999,2.77279
1.44,7.60446,6.49401,2.88,7.68653,6.80061,2.79425
1.45,7.64329,6.44827,2.9,7.73933,6.8007,2.81569
1.46,7.68184,6.40229,2.92,7.79204,6.80016,2.8371
1.47,7.72012,6.35608,2.94,7.84465,6.79899,2.8585
1.48,7.75811,6.30965,2.96,7.89715,6.79717,2.87988
1.49,7.79583,6.26299,2.98,7.94953,6.79471,2.90123
1.5,7.83327,6.2161,3,8.00178,6.79159,2.92257
1.51,7.87042,6.16899,3.02,8.05388,6.7878,2.94389
1.52,7.9073,6.12166,3.04,8.10583,6.78335,2.96518
1.53,7.94388,6.0741,3.06,8.15763,6.77822,2.98646
1.54,7.98019,6.02633,3.08,8.20925,6.77241,3.00772
1.55,8.0162,5.97834,3.1,8.2607,6.7659,3.02896
1.56,8.05192,5.93014,3.12,8.31196,6.7587,3.05018
1.57,8.08736,5.88172,3.14,8.36303,6.7508,3.07138
1.58,8.12251,5.83309,3.16,8.41389,6.74219,3.09256
1.59,8.15736,5.78425,3.18,8.46456,6.73287,3.11373
1.6,8.19192,5.7352,3.2,8.515,6.72283,3.13487
1.61,8.22618,5.68595,3.22,8.56523,6.71206,3.156
1.62,8.26015,5.63649,3.24,8.61523,6.70056,3.17711
1.63,8.29382,5.58682,3.26,8.66501,6.68832,3.19821
1.64,8.32719,5.53696,3.28,8.71454,6.67534,3.21928
1.65,8.36026,5.4869,3.3,8.76384,6.66161,3.24034
1.66,8.39303,5.43664,3.32,8.81289,6.64714,3.26139
1.67,8.4255,5.38618,3.34,8.86169,6.6319,3.28241
1.68,8.45766,5.33553,3.36,8.91024,6.6159,3.30342
1.69,8.48953,5.28469,3.38,8.95853,6.59914,3.32442
1.7,8.52108,5.23366,3.4,9.00657,6.58161,3.3454
1.71,8.55233,5.18244,3.42,9.05434,6.56331,3.36636
1.72,8.58327,5.13103,3.44,9.10184,6.54422,3.3873
1.73,8.6139,5.07944,3.46,9.14908,6.52435,3.40824
1.74,8.64422,5.02767,3.48,9.19605,6.5037,3.42915
1.75,8.67423,4.97571,3.5,9.24275,6.48226,3.45005
1.76,8.70393,4.92358,3.52,9.28917,6.46003,3.47094
1.77,8.73331,4.87126,3.54,9.33533,6.437,3.49181
