t,x_true,x_est,y_true,y_est,z_true,z_est,vx_true,vx_est,vy_true,vy_est,vz_true,vz_est,phi_true,phi_est,theta_true,theta_est,psi_true,psi_est,p_true,p_est,q_true,q_est,r_true,r_est
0,4.60183,4.62073,4.96252,4.93487,0.313534,0.342837,0,0.0213406,0,0.00196529,0,0.0284559,0.0259383,-0.00321989,-0.00691345,-0.014886,0.0170917,0.00649193,0,-0.0251015,0,0.0173935,0,0.000333685
0.01,4.60183,4.62243,4.9625,4.93207,0.313935,0.344516,-0.00111296,0.0191097,-0.00459479,0.00286702,0.0797738,0.112168,0.0252695,-0.00345492,-0.00626778,-0.012258,0.017107,0.00707376,-0.131978,-0.157498,0.127409,0.148183,0.00306668,0.00316542
0.02,4.60181,4.62306,4.96243,4.92947,0.31512,0.347307,-0.00199106,0.0174381,-0.0088849,0.00232548,0.156781,0.19312,0.0233336,-0.00542226,-0.00439895,-0.00906929,0.017153,0.007414,-0.253491,-0.280555,0.244715,0.26878,0.00612099,0.00601527
0.03,4.60179,4.62323,4.96232,4.92723,0.317062,0.350374,-0.00244271,0.0164361,-0.0126667,0.00136826,0.231111,0.271277,0.0202328,-0.00852719,-0.00140549,-0.00523772,0.0172294,0.00758192,-0.365053,-0.393252,0.352415,0.379326,0.00916286,0.00887462
0.04,4.60177,4.62337,4.96218,4.92514,0.319734,0.353606,-0.00230095,0.0164133,-0.0157627,0.00107232,0.302851,0.347293,0.0160641,-0.0125761,0.00261893,-0.000565704,0.0173362,0.00764604,-0.467162,-0.496097,0.450989,0.480542,0.0121922,0.0117663
0.05,4.60175,4.6237,4.96201,4.92309,0.323111,0.357167,-0.00142134,0.0175911,-0.0180196,0.00213773,0.372085,0.42125,0.0109195,-0.0174806,0.0075854,0.00500858,0.0174732,0.0076612,-0.560297,-0.589497,0.5409,0.572789,0.015209,0.0146915
0.06,4.60174,4.62422,4.96182,4.92113,0.327168,0.361255,0.000320321,0.0200474,-0.0193054,0.00484452,0.438896,0.492782,0.00488649,-0.0231459,0.0134096,0.0114074,0.0176403,0.00766765,-0.644926,-0.673707,0.622599,0.656239,0.0182131,0.0176318
0.07,4.60176,4.62487,4.96163,4.91939,0.331881,0.366023,0.00302984,0.0237558,-0.0195076,0.00919376,0.503362,0.561471,-0.00195216,-0.0294635,0.0200115,0.0184851,0.0178374,0.00769282,-0.721499,-0.749069,0.696521,0.731175,0.0212046,0.0205647
0.08,4.6018,4.62554,4.96144,4.91799,0.337227,0.371558,0.00679656,0.0286554,-0.0185308,0.0150537,0.565559,0.627077,-0.00951809,-0.0363296,0.0273155,0.0260942,0.0180644,0.00775459,-0.790452,-0.816088,0.763087,0.798075,0.0241832,0.0234737
0.09,4.6019,4.62618,4.96126,4.91701,0.343185,0.377879,0.0116949,0.0346792,-0.0162951,0.0222707,0.625563,0.689575,-0.0177372,-0.0436567,0.03525,0.0341151,0.0183211,0.00786475,-0.852205,-0.875391,0.822702,0.857549,0.027149,0.026351
0.1,4.60204,4.62677,4.96111,4.91648,0.349731,0.384964,0.0177862,0.0417854,-0.0127342,0.0307119,0.683444,0.749095,-0.0265395,-0.0513781,0.0437476,0.0424614,0.0186073,0.00803113,-0.907163,-0.927638,0.875757,0.910249,0.0301018,0.0291962
0.11,4.60226,4.62729,4.96101,4.91637,0.356847,0.392764,0.0251195,0.0499483,-0.0077938,0.0402902,0.739273,0.805851,-0.0358591,-0.0594429,0.0527446,0.0510747,0.018923,0.00825895,-0.955716,-0.973443,0.922629,0.956791,0.0330417,0.0320134
0.12,4.60255,4.62778,4.96096,4.91666,0.36451,0.401216,0.0337336,0.0591712,-0.00143016,0.0509581,0.793117,0.860086,-0.0456338,-0.0678134,0.0621808,0.0599167,0.0192681,0.00855229,-0.998241,-1.01334,0.963682,0.997713,0.0359685,0.0348088
0.13,4.60293,4.62828,4.96099,4.91729,0.372703,0.410252,0.0436576,0.0694704,0.00639116,0.0627049,0.845042,0.912034,-0.055805,-0.0764598,0.072,0.0689623,0.0196424,0.00891413,-1.0351,-1.04777,0.999263,1.03347,0.0388821,0.0375895
0.14,4.60343,4.62882,4.9611,4.91821,0.381405,0.419804,0.0549126,0.0808757,0.0156966,0.0755435,0.89511,0.961906,-0.066318,-0.0853562,0.082149,0.0781938,0.0200457,0.00934662,-1.06664,-1.0771,1.02971,1.06444,0.0417826,0.0403619
0.15,4.60404,4.62945,4.96131,4.91936,0.390599,0.429813,0.0675118,0.0934204,0.0265056,0.0895028,0.943382,1.00988,-0.0771211,-0.0944803,0.0925781,0.0875977,0.020478,0.00985102,-1.09319,-1.10163,1.05534,1.09092,0.0446699,0.0431321
0.16,4.60478,4.63021,4.96163,4.92071,0.400267,0.440232,0.0814623,0.107144,0.0388314,0.10463,0.989919,1.05612,-0.0881662,-0.103812,0.103241,0.0971622,0.0209391,0.0104276,-1.11507,-1.12161,1.07647,1.11317,0.0475438,0.0459047
0.17,4.60567,4.63115,4.96209,4.9222,0.410392,0.451025,0.0967652,0.12208,0.0526822,0.120971,1.03478,1.10074,-0.099408,-0.11333,0.114093,0.106876,0.0214288,0.0110761,-1.13259,-1.13724,1.09338,1.13139,0.0504044,0.0486831
0.18,4.60672,4.63227,4.96269,4.92382,0.420957,0.462163,0.113417,0.13826,0.0680616,0.138576,1.07801,1.14383,-0.110804,-0.123014,0.125095,0.116726,0.0219471,0.0117949,-1.14605,-1.14874,1.10637,1.14577,0.0532516,0.0514696
0.19,4.60794,4.63363,4.96345,4.92553,0.431947,0.473627,0.131408,0.155705,0.0849693,0.157488,1.11968,1.18548,-0.122316,-0.132843,0.136209,0.126699,0.0224938,0.0125818,-1.15571,-1.15629,1.1157,1.15648,0.0560852,0.0542649
