layers,neurons,params,L_norm_mean,n_stable_of_10,meas_rmse_int,hidden_rmse_int,avg_diverge_t_s,meas_rmse_direct,hidden_rmse_direct,train_time_s
4,20,3304,26.569,0,nan,nan,7.13,0.0698,0.2550,1390
4,60,16944,19.533,0,nan,nan,12.80,0.0696,0.2593,1630
4,100,40184,16.729,0,nan,nan,12.37,0.0613,0.2078,2250
4,128,62164,15.991,0,nan,nan,14.70,0.0529,0.1658,2471
9,20,5404,57.739,0,nan,nan,5.97,0.0965,0.3465,2112
9,60,35244,17.682,0,nan,nan,12.81,0.0784,0.2676,2911
9,100,90684,16.144,0,nan,nan,12.70,0.0651,0.2396,4601
9,128,144724,16.344,0,nan,nan,11.34,0.0622,0.2323,5051
12,20,6664,54.108,0,nan,nan,6.83,0.1170,0.4036,2436
12,60,46224,43.877,0,nan,nan,6.50,0.1528,0.3372,3765
12,100,120984,17.539,0,nan,nan,15.40,0.0899,0.3168,5931
12,128,194260,19.222,0,nan,nan,6.14,0.1164,0.4668,6521
