layers,neurons,params,best_loss,conv_iteration,conv_epoch,rmse_meas,rmse_hidden,mae_meas,mae_hidden,train_time_s
4,20,1792,4.3725e-02,60000,2000,0.0940,0.1789,0.0689,0.1312,1419
4,60,12552,2.7493e-03,58273,1943,0.0524,0.0631,0.0368,0.0433,1716
4,100,32912,1.0306e-03,59998,2000,0.0266,0.0324,0.0196,0.0227,2250
4,128,52876,1.0020e-03,59295,1977,0.0300,0.0360,0.0225,0.0257,2433
9,20,3892,1.2960e-01,59187,1973,0.1637,0.2536,0.1113,0.1753,2365
9,60,30852,2.2527e-02,58620,1954,0.1207,0.1235,0.0857,0.0836,3369
9,100,83412,3.6021e-03,58784,1960,0.0623,0.0680,0.0462,0.0505,4850
9,128,135436,3.7368e-03,57720,1924,0.0617,0.0740,0.0404,0.0494,5280
12,20,5152,1.7416e-01,49170,1639,0.1946,0.3067,0.1321,0.2162,2933
12,60,41832,6.4645e-02,59859,1996,0.1434,0.1464,0.1074,0.0985,4347
12,100,113712,1.2683e+02,32392,1080,6.8568,2.5233,5.9018,2.1846,6296
12,128,184972,6.8854e+01,32190,1073,5.9885,2.5233,5.1282,2.1845,6908
