nohup: les entrées sont ignorées
Device: cuda | train L through ODE integration
  it    1 | W 50 | loss 2.5876e-02
  it  100 | W 50 | loss 6.0818e-03
  it  200 | W 50 | loss 6.9421e-03
  it  300 | W 50 | loss 1.0068e-02
  it  400 | W 50 | loss 4.8208e-03
  it  500 | W 50 | loss 5.6661e-03
  it  600 | W 50 | loss 4.8176e-03
  it  700 | W 50 | loss 6.1136e-03
  it  800 | W 50 | loss 6.2099e-03
  it  900 | W 50 | loss 5.2988e-03
  it 1000 | W 100 | loss 5.5069e-03
  it 1100 | W 100 | loss 3.5122e-03
  it 1200 | W 100 | loss 4.8095e-03
  it 1300 | W 100 | loss 4.0784e-03
  it 1400 | W 100 | loss 3.4540e-03
  it 1500 | W 100 | loss 2.7922e-03
  it 1600 | W 100 | loss 6.9256e-03
  it 1700 | W 100 | loss 3.8185e-03
  it 1800 | W 100 | loss 2.8636e-03
  it 1900 | W 100 | loss 4.5197e-03
  it 2000 | W 100 | loss 4.8068e-03
  it 2100 | W 100 | loss 4.0051e-03
  it 2200 | W 100 | loss 4.5515e-03
  it 2300 | W 100 | loss 3.5334e-03
  it 2400 | W 100 | loss 2.7823e-03
  it 2500 | W 200 | loss 2.6142e-03
  it 2600 | W 200 | loss 2.7331e-03
  it 2700 | W 200 | loss 2.6739e-03
  it 2800 | W 200 | loss 2.6395e-03
  it 2900 | W 200 | loss 2.5141e-03
  it 3000 | W 200 | loss 2.3556e-03
  it 3100 | W 200 | loss 2.4531e-03
  it 3200 | W 200 | loss 2.7936e-03
  it 3300 | W 200 | loss 3.1825e-03
  it 3400 | W 200 | loss 2.8569e-03
  it 3500 | W 200 | loss 1.9439e-03
  it 3600 | W 200 | loss 2.8511e-03
  it 3700 | W 200 | loss 4.7064e-03
  it 3800 | W 200 | loss 3.1062e-03
  it 3900 | W 200 | loss 3.4852e-03
  it 4000 | W 200 | loss 3.0600e-03

Saved phase1a/pinn_4x100_v2_L_ode.pth | 5473s
AFTER train-through-ODE: stable 10/10 | hidden RMSE (stable) 0.2415
